Council District,reports,council_district_name,population,households,housing_units,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_any_race,median_household_income,per_capita_income,unemployment_rate,poverty_rate,pct_households_cash_public_assistance,pct_households_ssi,pct_vacant_housing_units,pct_renter_occupied_among_occupied_units,rental_vacancy_rate,median_gross_rent,median_home_value,pct_bachelors_or_higher_proxy,pct_high_school_grad_proxy,pct_households_broadband,pct_with_disability_proxy,pct_language_other_than_english_proxy
19,205,City Council District 19,166641,61920,66108,0.4088849682851159,0.01313602294753392,0.3540545243967571,0.1897432204559502,99721,48404,0.064910331693382,0.08800184195538105,0.03260658914728682,0.03893733850129199,0.06335088037756399,0.3297157622739018,3.4,2227,893348,0.308147454708025,0.1636031948920134,0.927438630490956,0.09981337125917392,0.5338122070798903
46,296,City Council District 46,158375,57198,62874,0.2612912391475927,0.5165651144435675,0.079008681925809,0.08774112075769534,88608,42770,0.06057651051215041,0.1093131030980193,0.03799083884051889,0.05970488478618134,0.09027578967458728,0.380677646071541,4.4,1700,713005,0.2519273875295975,0.1947403314917127,0.9161509143676352,0.1060647198105762,0.32
42,322,City Council District 42,162308,61908,66525,0.02882174630948567,0.6588461443674988,0.04338664760825098,0.2108706902925302,51581,27907,0.09050684970360497,0.2388852148088993,0.07238159850100148,0.1008916456677651,0.06940248027057497,0.7554597144149383,3.8,1314,625834,0.120209724720901,0.2829928284496143,0.8566421141048006,0.1331850555733544,0.2797089484190551
13,463,City Council District 13,158715,58694,62586,0.299026557036197,0.125804114292915,0.08871877264278738,0.4531014711904987,75562,36534,0.08752713139165111,0.1449536510001626,0.04865914744266876,0.08218898013425563,0.06218643147029687,0.6004191229086449,3,1738,625274,0.2075292190404184,0.1940963362001071,0.9006712781544962,0.1503197555366537,0.4934883281353369
24,410,City Council District 24,161131,57819,61453,0.2905586137987103,0.1163090901192198,0.3143094748993056,0.2133109085154316,82514,39251,0.07517726954958553,0.1335478783760393,0.06250540479773085,0.05999757865061658,0.05913462320798008,0.5352911672633563,2.7,1785,710422,0.3019282447201346,0.1482458372380237,0.914958750583718,0.1074529420161235,0.5861007503211673
3,534,City Council District 3,156377,90740,108173,0.593731814780946,0.05775785441593073,0.1362476579036559,0.159109076142911,129119,128334,0.05864337883864022,0.1134903081429867,0.02609653956358828,0.04135992946881199,0.1611585146016104,0.7770883843949746,6.5,2761,1164446,0.6419422293559794,0.06229816405225833,0.934086400705312,0.09641443434776216,0.2664138588155547
21,293,City Council District 21,157148,44373,48596,0.03904599485835009,0.08713442105531091,0.1269313004301677,0.7319278641789905,73036,26045,0.0578354578184295,0.169786139563209,0.04356252676176955,0.07680346156446488,0.086900156391472555,0.7454758524327857,1.7,1905,779868,0.1062374322294907,0.2314124265024054,0.8654361886732923,0.0998740041235014,0.7864688064754244
26,517,City Council District 26,154110,67527,79520,0.2869443903705146,0.05074946466809422,0.3134514307961845,0.3067159820907144,87945,55883,0.05840274267630706,0.1202857758592541,0.05791757371125624,0.03976187302856635,0.1508174044265594,0.7892250507204526,3.6,2014,757111,0.369061060281617,0.1707222114074362,0.8891258311490219,0.0758289533450133,0.5835182661735124
36,1482,City Council District 36,170265,70930,76403,0.2231697647784336,0.4750124805450328,0.04582268816257011,0.1897336504860071,78274,47184,0.08899604986405377,0.2317790107425333,0.0744395883265191,0.08921471873678274,0.07163331282803032,0.7970957281827153,2.6,1868,1317087,0.3373564737321235,0.1638739611781634,0.8821514168898914,0.1207294511496784,0.2366898657974334
16,975,City Council District 16,172641,65054,66384,0.04171083346366158,0.3606385505181272,0.01032779003828754,0.5618190348758406,39120,21842,0.1192169163089273,0.3398956844896831,0.1105235650382759,0.1682602145909552,0.02003494818028441,0.9347465182771236,1.2,1342,285172,0.1039903615016132,0.1891555308414571,0.8082669782027239,0.1830156220133109,0.5741336067330471
