"","Council District","reports","confirmed_reports","population","households","housing_units","pct_white_nh","pct_black_nh","pct_asian_nh","pct_hispanic_any_race","median_household_income","per_capita_income","unemployment_rate","poverty_rate","pct_households_cash_public_assistance","pct_households_ssi","pct_vacant_housing_units","pct_renter_occupied_among_occupied_units","rental_vacancy_rate","median_gross_rent","median_home_value","pct_bachelors_or_higher_proxy","pct_high_school_grad_proxy","pct_households_broadband","pct_with_disability_proxy","pct_language_other_than_english_proxy","rate_all","rate_confirmed"
"11",9,1523,361,190866,80982,89857,0.159708905724435,0.477570651661375,0.0464200014669978,0.262503536512527,58045,43988,0.106463990265252,0.242393043257884,0.0717072929786866,0.0904645476772616,0.0987680425565065,0.84786742732953,4.1,1394,824783,0.30516173650624,0.164361384426771,0.865229310217085,0.140454559743485,0.33599488646485,7.97942011673111,1.89137929227835
"12",41,755,213,177923,68509,73219,0.0739252373217628,0.691484518583882,0.014056642480174,0.153588912057463,51326,28745,0.105222227459113,0.27783023160577,0.0878132800070064,0.104336656497686,0.0643275652494571,0.825307623815849,2,1431,789901,0.16479038685274,0.235787391174834,0.849216891211374,0.137188559095789,0.193566880054855,4.24340866554633,1.19714708047863
"13",2,646,169,165141,83146,97294,0.544934328846259,0.077660907951387,0.158355587043799,0.173251948335059,113463,102029,0.0503094109137668,0.167484593689522,0.0451374690303803,0.0486854448800905,0.145414927950336,0.746710605441031,3.5,2240,1045369,0.513694358154547,0.0748693540671305,0.923508046087605,0.105419005577052,0.270393179162049,3.9118086968106,1.02336790984674
"14",4,353,107,161695,85201,113288,0.695247224713195,0.0281517672160549,0.139020996320232,0.0885308760320356,170217,145539,0.048441069210115,0.0759384167899501,0.0163965211675919,0.014072604781634,0.247925640844573,0.619887090527106,5.5,3192,1430697,0.684628467175856,0.0397229351556944,0.942841046466591,0.0741210303348898,0.254825442963604,2.18312254553326,0.661739695104982
"15",11,701,357,176408,70655,73134,0.246230329690264,0.210755748038638,0.0583023445648723,0.437179719740601,71756,40197,0.0879195178531877,0.178156644781924,0.0556648503290638,0.0666619489066591,0.033896682801433,0.666761021866818,2.1,1659,418879,0.26901274318625,0.166993560382749,0.889250583822801,0.138491451634847,0.474009115232869,3.97374268740647,2.02371774522697
"16",43,355,83,151195,49258,53677,0.292913125434042,0.0110387248255564,0.481285756804127,0.180667350110784,65331,29124,0.0897300194278824,0.215698002857807,0.0491899792927037,0.0967355556457834,0.082325763362334,0.681615169109586,2.4,1697,1099515,0.190145176758491,0.179113065908264,0.891327297088798,0.0908495651311221,0.744224346043189,2.34796124210457,0.548959952379378
"17",49,441,101,156136,54385,61054,0.289356714659015,0.247290823384742,0.0997655889737152,0.328111390070195,80438,37628,0.0669895609253956,0.174047936518261,0.0794704422175232,0.075406821733934,0.109231172404757,0.4868989611106,6.3,1589,573491,0.214076189988215,0.208376031152329,0.869467684104073,0.104863708561767,0.382506276579392,2.82446072654609,0.646871957780397
"18",6,841,199,172004,89524,111689,0.688315388014232,0.0377142392037395,0.119078626078463,0.110456733564336,157157,142175,0.0477118777567738,0.094011022512683,0.0172691121933783,0.022027612707207,0.198452846744084,0.630635360350297,8.7,2859,1478514,0.670542545522197,0.050208134694542,0.94333363120504,0.0960617194948955,0.257261459035836,4.88942117625172,1.15694983837585
"19",32,311,92,170596,57546,63002,0.39892494548524,0.0526331215268822,0.142418345096016,0.360237051279045,92041,43098,0.0682360759026359,0.100224427120246,0.035780071594898,0.0605081152469329,0.0866004253833212,0.407621728703993,3.8,1855,701779,0.221458885319703,0.19835166123473,0.907117784033643,0.118912518464677,0.471798869844545,1.82302046941312,0.539285798025745
"20",8,1926,232,168016,68769,74498,0.111757213598705,0.267593562517855,0.0664520045709932,0.518551804590039,36445,31633,0.118519832928394,0.350135942127494,0.121944480798034,0.146664921694368,0.0769013933259953,0.933952798499324,3.6,1223,718189,0.194094610037139,0.167436434625274,0.809027323357908,0.188357061232264,0.512653556804114,11.4631939815256,1.38082087420246
